Catalogue No.,Lot Number,Artist Name 1,Artist Name 2,Artist Name 3,Artist Name 4,Artist Name 5,Title,Handwritten Note,Object Type,Object Notes,Inscription,Seller,Transaction,Buyer,Lot Notes,Previous Owner,Previous Sales,Post Owner,Post Sales,Present Location,Sale Date,Expert,Commissaire Pr.,Auction House,Sale Location,Lugt Number,Copyright,Year of Sale,# of instances in year,latitude/longitude,,latitude,longitude
F-425,13,"MOLENAER, JAN MIENSE (Dutch)",,,,,Tabagie,,Peinture,,,Rolland; from catalog: Rolland,"Vendu, 24 francs",Dalporte; from catalog: Dalporte,,,,,,,1813 Feb 13 - 1813 Feb 17 (This Lot: Feb 13),"Destouches, François","Masson, Jean Antoine",,"Paris, France",8298a,,1813,30,"48.8566101, 2.3514992",,48.8566101, 2.3514992
F-421,61,"MOLENAER, JAN MIENSE (Dutch)",,,,,Un Charlatan occupé a jouer du violon devant un auditoire de quinze personnages de différens âges : tableau gai et amusant ; le charme de la couleur en augmente le mérite.,,Peinture,"sur toile, Hauteur 42 p., largeur 32 p.",,Irlande l'aîné ou Bordier [ou autres]; Bordier ou Irlande l'aîné [ou autres]; from catalog: Irlande l'aîné [ou] Bordier,"Vendu, 79 francs",Barbier; from catalog: Barbier,,,,,,,1813 Jan 27 - 1813 Jan 30 (This Lot: Jan 27),"Lebrun, Jean Baptiste Pierre","Olivier, Jean Ferdinand",,"Paris, France",8289,,1813,31,"48.8566101, 2.3514992",,48.8566101, 2.3514992
F-464,38,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Une riche composition, représentant un intérieur de tabagie.",,Peinture,,,,"Inconnue, 33 francs",,,,,,,,1813 Oct 25 - 1813 Oct 27 (This Lot: Oct 25),"Roux, Pierre","Revenaz, Marie Claude",,"Paris, France",8442,,1813,32,"48.8566101, 2.3514992",,48.8566101, 2.3514992
F-419,89,"MOLENAER, JAN MIENSE (Dutch)",,,,,"L'Intérieur rustique flamand, où sont des personnages des deux sexes s'amusant à boire et à fumer.",,Peinture,,,,Inconnue,,,,1810/11/12 PACLI 0055 (?) F-271,,,,1813 Jan 18 and following days (This Lot: Jan 18),"Clisorius, Léonard André","Serreau, Marie Gabriel",,"Paris, France",8283,,1813,33,"48.8566101, 2.3514992",,48.8566101, 2.3514992
F-443,52,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Dans l'intérieur d'une maison rustique, on voit une nombreuse assemblée de Flamands et Flamandes livrés à divers amusements, les uns boivent, les autres chantent, et d'autres jouent de divers instrumens ; tableau très-capital et du plus beau faire du maître.",,Peinture,"sur toile, l. 50, h. 35.",,,Inconnue,,,,,,,,"1813 Apr 12, dates unknown (This Lot: Apr 12)","Roux, Pierre","Revenaz, Marie Claude",,"Paris, France",3464,,1813,34,"48.8566101, 2.3514992",,48.8566101, 2.3514992
F-443,53,"MOLENAER, JAN MIENSE (Dutch)",,,,,Une composition de dix-huit figures représentant un repas de famille dans un intérieur meublé de divers accessoires.,,Peinture,"sur toile, l. 30, h. 24.",,,Inconnue,,,,,,,,"1813 Apr 12, dates unknown (This Lot: Apr 12)","Roux, Pierre","Revenaz, Marie Claude",,"Paris, France",3464,,1813,35,"48.8566101, 2.3514992",,48.8566101, 2.3514992
B-234,40,"MOLENAER, JAN MIENSE (Dutch), copy after",,,,,"Les cinq Sens, d'après Molenaer",,Painting,,,"Wielmaecker, Jacques Joseph and Khnopff, Madelaine-Charlotte, Mlle.; Khnopff, Madelaine-Charlotte, Mlle. and Wielmaecker, Jacques Joseph; from catalog: Jacques Wielmaecker; Mademoiselle Madelaine-Charlotte Khnopff",Unknown,,,,,,,,1814 Nov 29 - 1814 Dec  2 (This Lot: Dec  2),,,Terlinck (E.J.),"Brugge, Belgium",,,1814,1,"51.2085526, 3.226772",,51.2085526, 3.226772
B-234,5,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Un Intérieur rustique, avec trois Figures",,Painting,,,"Wielmaecker, Jacques Joseph and Khnopff, Madelaine-Charlotte, Mlle.; Khnopff, Madelaine-Charlotte, Mlle. and Wielmaecker, Jacques Joseph; from catalog: Jacques Wielmaecker; Mademoiselle Madelaine-Charlotte Khnopff",Unknown,,,,,,,,1814 Nov 29 - 1814 Dec  2 (This Lot: Dec  2),,,Terlinck (E.J.),"Brugge, Belgium",,,1814,2,"51.2085526, 3.226772",,51.2085526, 3.226772
B-224,92,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Intérieur d'une maison rustique ; la famille composée de cinq individus, est vue assise à table et disant le Benedicité. Ce tableau est dans la manière d'Ostade et du meilleur tems de l'artiste",,Painting,"sur bois, Hauteur 20 1/2 Pouces  Largeur 15 3/4 [pouces d'Anvers]",,"Vinck de Wesel, Jean François Joseph de; from catalog: J F De Vinck de Wesel","Sold, 46 frs","Wael, de (Antwerpen); from catalog: De Wael",,,,,,,1814 Aug 16 and following days (This Lot: Aug 16),,,Beeckmans (N.F.),"Antwerp, Belgium",8356 and 8575,,1814,3,"51.2211097, 4.3997081",,51.2211097, 4.3997081
Br-1164,62,"MOLENAER, JAN MIENSE (Dutch)",,,,,An Interior with Dutch Boors,,Painting,,,Everingham (Bank of England); from catalog: Everingham,"Sold, 4.0 pounds","Woodburn, William; from catalog: WW[oodburn]",,,,,,,1814 Feb 12,,,Christie's,"London, England",8478,,1814,4,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-1162,42,"MOLENAER, JAN MIENSE (Dutch)",,,,,"The Artists of the Time, in the Characters of Shepherds and Shepherdesses Regaling  A very pleasing Picture -- finely coloured and well painted",,Painting,,,"Blakey, John Robinson; from catalog: J R Blakey","Unknown, 17.17 pounds",,,,,,,,1814 Feb 03 - 1814 Feb  4 (This Lot: Feb  3),,,Winstanley,"Liverpool, England",,,1814,5,"53.4054719, -2.9805392",,53.4054719, -2.9805392
Br-1170,[A]0088,"MOLENAER, JAN MIENSE (Dutch)",,,,,Flemish Festival,,Painting,,,Soltau (George and William) and Co.; from catalog: Saltau,"Sold, 64.1 pounds",,,,,,,,1814 Mar 19,,,Christie's,"London, England",8488,,1814,6,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-1188,13,"MOLENAER, JAN MIENSE (Dutch)",,,,,Boors Regaling,,Painting,,,,"Unknown, 0.11 pounds",,,,,,,,1814 May 06,,,Smithers,"London, England",8511,,1814,7,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-1188,29,"MOLENAER, JAN MIENSE (Dutch)",,,,,Village Concert,,Painting,,,,"Unknown, 2.0 pounds",,,,,,,,1814 May 06,,,Smithers,"London, England",8511,,1814,8,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-1194,48,"MOLENAER, JAN MIENSE (Dutch)",,,,,A pair of Flemish Merry Makings,,Painting,,,"May, William; from catalog: May","Bought In, 10.15 pounds",,,,,,1816/04/06 LOCH A0070,,1814 May 28,,,Christie's,"London, England",8527,,1814,9,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-1171,139,"MOLENAER, JAN MIENSE (Dutch)",,,,,Dutch Peasants,,Painting,,,,"Bought In, 2.13 pounds",,,,,,,,1814 Mar 21 - 1814 Mar 22 (This Lot: Mar 22),,,Phillips (Harry),"London, England",8489,,1814,10,"51.5073219, -0.1276474",,51.5073219, -0.1276474
N-253,81,"MOLENAER, JAN MIENSE (Dutch)",,,,,Un tableau représentant une société s'occupant en partie à boire et en partie à faire de la musique,,Painting,,,"Hultman, Carel Gerard; from catalog: Charles Gerard Hultman","Sold, 19 fl","Straten, H. van; from catalog: H van Straten",,,,,,,1814 Oct 12 and following days (This Lot: Oct 12),,,Schmolck (J.J.) ; Le Maitre (C.G.),"Hague, The, Netherlands",8242,,1814,11,"52.0799838, 4.3113461",,52.0799838, 4.3113461
N-253,82,"MOLENAER, JAN MIENSE (Dutch)",,,,,Un tableau représentant quelques paysans et paysanes assis à une table,,Painting,,,"Hultman, Carel Gerard; from catalog: Charles Gerard Hultman","Sold, 10:5 fl","Esser, Wijnand; from catalog: Esser",,,,,,,1814 Oct 12 and following days (This Lot: Oct 12),,,Schmolck (J.J.) ; Le Maitre (C.G.),"Hague, The, Netherlands",8242,,1814,12,"52.0799838, 4.3113461",,52.0799838, 4.3113461
N-295,109,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een bevallige jonge Meid, met een kan in de hand, naast haar een vrolijke Jongen, uitmuntend behandeld",,Painting,"hoog 23, breed 19 duim",,"Dijl, Dirk van; from catalog: D. van Dyl","Sold, 18 fl","Lelie, Adriaan de for u.; u. through Lelie, Adriaan de; from catalog: </>D Lelie [for] u",,,,,,,1814 Jan 10 and following days (This Lot: Jan 10),,,Vinkeles (Jacobus),"Amsterdam, Netherlands",8448 and 8467,,1814,13,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-313,36,"MOLENAER, JAN MIENSE (Dutch)",,,,,Eenige Huislieden spelen handjeplak op een Boerenwerf,,Painting,"on panel, hoog 25, breed 23 duim",,"Fokke, Jan; from catalog: Jan Fokke","Sold, 4:15 fl","Pakker, Levy; from catalog: L Pakker",,,,,,,1814 Jun 29 and following days (This Lot: Jun 29),,,Schley (Philippus),"Amsterdam, Netherlands",8547,,1814,14,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-314,50,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Boere Muziek gezelschap vol gewoel, als Jan Steen",,Painting,"hoog 22 1/2, breed 29 1/2 duim",,"Eyk, Johannes van [or others?]; from catalog: [Johannes van Eyk] [or others?]",Unknown,,,,,,,,1814 Jul 05 and following days (This Lot: Jul  5),,,Eyk (Johannes); Pieneman (Jan Willem),"Hague, The, Netherlands",8551,,1814,15,"52.0799838, 4.3113461",,52.0799838, 4.3113461
N-314,51,"MOLENAER, JAN MIENSE (Dutch)",,,,,Een dito [Boere Muziek gezelschap] niet minder in schoonheid,,Painting,,,"Eyk, Johannes van [or others?]; from catalog: [Johannes van Eyk] [or others?]",Unknown,,,,,,,,1814 Jul 05 and following days (This Lot: Jul  5),,,Eyk (Johannes); Pieneman (Jan Willem),"Hague, The, Netherlands",8551,,1814,16,"52.0799838, 4.3113461",,52.0799838, 4.3113461
N-314,238,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Boere binnen woning daar men een bekent spel oefent, fiks geschildert",,Painting,"hoog 18, breed 16 duim",,"Eyk, Johannes van [or others?]; from catalog: [Johannes van Eyk] [or others?]","Sold, 18:10 [or] 19:8 [?] fl","Oosthuijse van Rijsenburg, P.J. van; from catalog: Oosthuyse",,,,,,,1814 Jul 05 and following days (This Lot: Jul  5),,,Eyk (Johannes); Pieneman (Jan Willem),"Hague, The, Netherlands",8551,,1814,17,"52.0799838, 4.3113461",,52.0799838, 4.3113461
N-314,293,"MOLENAER, JAN MIENSE (Dutch)",,,,,Een Kermis vreugd rijk van ordonantie en een der fraaiste van dien Meester,,Painting,"hoog 50, breed 65 duim",,"Eyk, Johannes van [or others?]; from catalog: [Johannes van Eyk] [or others?]","Sold, 22 fl","Eyk, Johnnes van; from catalog: van Eijk",,,,,,,1814 Jul 05 and following days (This Lot: Jul  5),,,Eyk (Johannes); Pieneman (Jan Willem),"Hague, The, Netherlands",8551,,1814,18,"52.0799838, 4.3113461",,52.0799838, 4.3113461
N-314,337,"MOLENAER, JAN MIENSE (Dutch)",,,,,Een Bruiloft vol figuren,,Painting,"hoog 41, breed 53 duim",,"Eyk, Johannes van [or others?]; from catalog: [Johannes van Eyk] [or others?]","Unknown, 7 fl","Pieneman, Jan Willem; from catalog: Pineman",,,,,,,1814 Jul 05 and following days (This Lot: Jul  5),,,Eyk (Johannes); Pieneman (Jan Willem),"Hague, The, Netherlands",8551,,1814,19,"52.0799838, 4.3113461",,52.0799838, 4.3113461
N-314,374,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Boer spelende op de fiool, als A. Ostade",,Painting,"hoog 19, breed 14 duim",,"Eyk, Johannes van [or others?]; from catalog: [Johannes van Eyk] [or others?]","Sold, 15:15 fl","Pieneman, Jan Willem; from catalog: Pineman",,,,,,,1814 Jul 05 and following days (This Lot: Jul  5),,,Eyk (Johannes); Pieneman (Jan Willem),"Hague, The, Netherlands",8551,,1814,20,"52.0799838, 4.3113461",,52.0799838, 4.3113461
N-316,6,"MOLENAER, JAN MIENSE (Dutch)",,,,,2 Binnenhuizen met vrolyke boeren en boerinnen,,Painting,,,"Bardon, Adam Adriaen; from catalog: Adam Adriaen Bardon","Sold, 2:10 fl","Gruyter, Willem, Senior; from catalog: Gruiter",,,,,,,1814 Jul 18 - 1814 Jul 22 (This Lot: Jul 18),,,Posthumus (Pieter),"Amsterdam, Netherlands",8559a,,1814,21,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-322,96,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Gezelschap, het geen zich vermaakt met elkander zwart te maken. Geestig behandeld",,Painting,"on panel, hoog 22, breed 16 1/2 duimen",,"F. (Amsterdam, 1814, September 21); from catalog: F","Sold, 47 fl","Boer, de; from catalog: de Boer",,,,,,,1814 Sep 21,,,Schley (Philippus),"Amsterdam, Netherlands",8584,,1814,22,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-335,39,"MOLENAER, JAN MIENSE (Dutch)",,,,,"In een Binnenhuis zitten twee Boeren te rooken en te drinken, uitvoerig",,Painting,"on panel, hoog 8, breed 7 duim",,"B. (Amsterdam, 1814, December 27); from catalog: B","Sold, 10 fl","Weyer, de; from catalog: de Weyer",,,,,,,1814 Dec 27 and following days (This Lot: Dec 27),,,Schley (Philippus),"Amsterdam, Netherlands",8625,,1814,23,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-335,40,"MOLENAER, JAN MIENSE (Dutch)",,,,,"In een Binnenhuis zit een verliefde Boer bij een Boerinnetje, bij een Tafel, waarop een Vuurtest en Pijp geplaatst is, krachtig gepenseelt",,Painting,"on panel, hoog 7 1/2, breed 6 1/2 duim",,"Schley, Philippus van der [?]; from catalog: S (Schley?)","Bought In, 16 fl",,,,,,,,1814 Dec 27 and following days (This Lot: Dec 27),,,Schley (Philippus),"Amsterdam, Netherlands",8625,,1814,24,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-326,16,"MOLENAER, JAN MIENSE (Dutch)",,,,,In een Binnenhuis ziet men eenige vrolyke Boeren en Boerinnen,,Painting,,,"Suchtelen, Albertus Theodorus van; from catalog: Albertus Theodorus van Suchtelen","Sold, 24 fl","Iperen, Matthias Ignatius van; from catalog: M v Iperen",,,,,,,1814 Oct 11 and following days (This Lot: Oct 13),,,Ophoven (G.W.),"Amsterdam, Netherlands",8592,,1814,25,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-312,63,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Voorstellende twee vrolyke, rokende en drinkende Boeren, fraay geschilderd",,Painting,,,,Unknown,,,,,,,,1814 Jun 22 - 1814 Jun 24 (This Lot: Jun 22),,,Vinkeles (Jacobus),"Amsterdam, Netherlands",8544,,1814,26,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-312,151,"MOLENAER, JAN MIENSE (Dutch)",,,,,Een Pennesnijder,,Painting,,,,Unknown,,,,,,,,1814 Jun 22 - 1814 Jun 24 (This Lot: Jun 22),,,Vinkeles (Jacobus),"Amsterdam, Netherlands",8544,,1814,27,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-312,152,"MOLENAER, JAN MIENSE (Dutch)",,,,,Een Binnenhuis met verscheide beelden,,Painting,,,,Unknown,,,,,,,,1814 Jun 22 - 1814 Jun 24 (This Lot: Jun 22),,,Vinkeles (Jacobus),"Amsterdam, Netherlands",8544,,1814,28,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-317,5,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Binnenhuis, op de voorgrond van het zelve ziet men bijeen gedekte Tafel, een vergenoegde Boer, zittende op een bank te zingen, terzijde twee Boerinnen in een vrolijke houding, schijnen hem te accompagneeren, een van dezelve heeft een glas in de eene en een kan in de andere hand, agterwaars die op de kaart Speelen, en staan te Dansen. - Dit stuk is geestig van ordinantie uitvoerig en aangenaam geschildert",,Painting,,,"Poel, Marten; from catalog: Marten Poel","Unknown, 75 fl",,,,,,1819/07/16 AMROO 0106 [ORDEN],,1814 Jul 19,,,Veltrup (Melchior),"Zaandam, Netherlands",8561,,1814,29,"52.45030615, 4.81594421954726",,52.45030615, 4.81594421954726
N-317,33,"MOLENAER, JAN MIENSE (Dutch), manner",,,,,Een Biddend-huisgezin. - in de manier van Molenaar,,Painting,,,"Poel, Marten; from catalog: Marten Poel","Unknown, 1:10 fl",,,,,,,,1814 Jul 19,,,Veltrup (Melchior),"Zaandam, Netherlands",8561,,1814,30,"52.45030615, 4.81594421954726",,52.45030615, 4.81594421954726
F-483,36,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Un maître d'école, la férule à la main et la verge au bonnet, montre à lire à un enfant, tandis que d'autres étudient.",,Peinture,,,"Destrez ou Milliotti, Alphonzo; Milliotti, Alphonzo ou Destrez; from catalog: Destrez [ou] Millioti","Vendu, 60 francs",Hazard; from catalog: Hazard,,,,"Marescalchi, Ferdinando [?] ; from catalog: Ferdinando Marescalchi |q [?] (M. Preti Hamard, Ferdinando Marescalchi, 2005, II, p.119)",,,1814 Jan 24,Anonyme,,,"Paris, France",8471,,1814,31,"48.8566101, 2.3514992",,48.8566101, 2.3514992
F-533,18,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Vue de joueurs de cartes. Tableau plein de vérité et de gaité, et du meilleur faire du maître.",,Peinture,,,"Barbier, J.L.; from catalog: Barbier","Inconnue, 34 francs",,,,,,,,1814 Nov 02 - 1814 Nov  3 (This Lot: Nov  2),"Roux, Pierre","Chariot, Claude Louis",,"Paris, France",8600,,1814,32,"48.8566101, 2.3514992",,48.8566101, 2.3514992
F-533,99,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Molnaert, scène familière.",,Peinture,,,"Barbier, J.L.; from catalog: Barbier","Inconnue, 24 francs",,,,,,,,1814 Nov 02 - 1814 Nov  3 (This Lot: Nov  2),"Roux, Pierre","Chariot, Claude Louis",,"Paris, France",8600,,1814,33,"48.8566101, 2.3514992",,48.8566101, 2.3514992
B-244,107,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Deux Hommes à table, occupés à boire et à fumer. Ce tableau est très-expressivement peint",,Painting,"sur bois, Haut. 9 pouces; larg. 6 pouces",,"Belle, J. van; from catalog: van Belle","Sold, 12 frs",Moriels; from catalog: Moriels,,,,,,,1815 Oct 09 and following days (This Lot: Oct  9),,,Apers (J.B.),"Ghent, Belgium",8768,,1815,1,"51.0538286, 3.7250121",,51.0538286, 3.7250121
Br-1244,48,"MOLENAER, JAN MIENSE (Dutch)",,,,,An Interior with Figures,,Painting,,,"Jones, Thomas; from catalog: Thos Jones Esqre Sunderland","Sold, 3.3 pounds",Cozens; from catalog: Cussans,,,,,,,1815 Jan 20 - 1815 Jan 21 (This Lot: Jan 21),,,Christie's,"London, England",8634,,1815,2,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-1255,24,"MOLENAER, JAN MIENSE (Dutch)",,,,,An Interior with Dutch Boors,,Painting,,,"Fyers, Maj.; from catalog: Major Fyers","Sold, 2.8 pounds",Crane; from catalog: Crane,,,,,,,1815 Feb 18,,,Christie's,"London, England",8645,,1815,3,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-1256,73,"MOLENAER, KLAES (Dutch)",,,,,A Dutch Family,,Painting,,,,"Unknown, 3.0 pounds",,The artist was presumably Jan Miense Molenaer and not Klaes Molenaer.,,,,,,1815 Feb 20 - 1815 Feb 21 (This Lot: Feb 20),,,Coxe (Peter),"London, England",8646,,1815,4,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-1262,9,"MOLENAER, JAN MIENSE (Dutch)",,,,,An Interior with Dutch Boors,,Painting,,,"Fothergill, Dr. (Craven St.); from catalog: Dr Fothergill","Bought In, 3.18 pounds",,,,,,,,1815 Mar 10 - 1815 Mar 11 (This Lot: Mar 10),,,Christie's,"London, England",8656,,1815,5,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-1263,426,"MOLENAER, JAN MIENSE (Dutch)",,,,,Village festival,,Painting,,,,"Unknown, 19.0 pounds",,,,,,,,1815 Mar 16 - 1815 Mar 23 (This Lot: Mar 23),,,Ballantyne (John),"Edinburgh, Scotland",,,1815,6,"55.9495628, -3.1914972",,55.9495628, -3.1914972
Br-1263,443,"MOLENAER, JAN MIENSE (Dutch)",,,,,Country men refreshing at the door of a Cabaret,,Painting,,,,"Unknown, 10.0 pounds",,,,,,,,1815 Mar 16 - 1815 Mar 23 (This Lot: Mar 23),,,Ballantyne (John),"Edinburgh, Scotland",,,1815,7,"55.9495628, -3.1914972",,55.9495628, -3.1914972
Br-1277,42,"MOLENAER, JAN MIENSE (Dutch)",,,,,Musical Conversation,,Painting,,,,"Unknown, 2.10 pounds",,,,,,,,1815 Apr 27,,,Phillips (Harry),"London, England",8688,,1815,8,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-1277,69,"MOLENAER, JAN MIENSE (Dutch)",,,,,Flemish Festival,,Painting,,,,"Unknown, 7.12 pounds",,,,,,,,1815 Apr 27,,,Phillips (Harry),"London, England",8688,,1815,9,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-1288,18,"MOLENAER, JAN MIENSE (Dutch)",,,,,An Interior,,Painting,,,"Jesse, Edward; from catalog: Jesse","Bought In, 6.0 pounds",,,,1812/06/29 LOCH 0064 ? AS SORGH Br-1020,,,,1815 May 13,,,Christie's,"London, England",8705,,1815,10,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-1288,56,"MOLENAER, JAN MIENSE (Dutch)",,,,,An Interior,,Painting,,,"Scott, James, Rev.; from catalog: Rev James Scott","Sold, 3.15 pounds","Delcour, Peter; from catalog: Delcour",,,,,,,1815 May 13,,,Christie's,"London, England",8705,,1815,11,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-1286,104,"MOLENAER, JAN MIENSE (Dutch)",,,,,An interior with Dutch Boors,,Painting,,,"Coxe, Peter [?]; from catalog: [Peter Coxe?]","Unknown, 6.0 pounds",,,,,,,,1815 May 11 - 1815 May 12 (This Lot: May 11),,,Phillips (Harry),"London, England",8702,,1815,12,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-1295,5,"MOLENAER, JAN MIENSE (Dutch)",,,,,A pair of Conversations,,Painting,,,,"Unknown, 1.8 pounds",,,,,,,,1815 Jun 06,,,Oxenham (Samuel),"London, England",8723,,1815,13,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-1290,54,"MOLENAER, JAN MIENSE (Dutch)",,,,,Market Scene,,Painting,,,,"Sold, 3.13 pounds","Woodin, Joseph; from catalog: J Woodin",,,,,,,1815 May 26,,,Squibb (George),"London, England",8716,,1815,14,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-1317,22,"MOLENAER, JAN MIENSE (Dutch)",,,,,An Interior,,Painting,,,"Blackford, William; from catalog: Blackford","Bought In, 1.11 pounds",,,,,,,,1815 Jul 11,,,Foster (Edward),"London, England",,,1815,15,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-1317,112,"HEEMSKERCK, EGBERT VAN (THE ELDER) (Dutch), changed to Molenaer, J.M.","MOLENAER, JAN MIENSE (Dutch), changed from Heemskerck, E. (I)",,,,An Interior,,Painting,,,"Blackford, William; from catalog: Blackford","Bought In, 0.38 pounds",,The artist's name was changed by hand from Hemskirk to Molinear in the BIB and VAL copies of the catalogue.,,,,,,1815 Jul 11,,,Foster (Edward),"London, England",,,1815,16,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-1321,182,"MOLENAER, JAN MIENSE (Dutch)",,,,,Interior with Dutch Boors,,Painting,,,,"Unknown, 7.17 pounds",,,,,,,,1815 Jul 19 - 1815 Jul 20 (This Lot: Jul 20),,,Phillips (Harry),"London, England",8755,,1815,17,"51.5073219, -0.1276474",,51.5073219, -0.1276474
Br-1328,11,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Boors at a meal, a spirited and genuine picture of Mollenaer",,Painting,,,,"Unknown, 6.6 pounds",,,,,,,,1815 Aug 02 - 1815 Aug  5 (This Lot: Aug  3),,,Ballantyne (John),"Edinburgh, Scotland",,,1815,18,"55.9495628, -3.1914972",,55.9495628, -3.1914972
Br-1328,45,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Dutch marriage, a very fine picture",,Painting,,1642 (dated?),,Unknown,,It is unclear whether the date is inscribed on the painting.,,,,,,1815 Aug 02 - 1815 Aug  5 (This Lot: Aug  3),,,Ballantyne (John),"Edinburgh, Scotland",,,1815,19,"55.9495628, -3.1914972",,55.9495628, -3.1914972
N-342,84,"MOLENAER, JAN MIENSE (Dutch)",,,,,"Een Binnehuis met een talryk Gezelschap zig op onderscheiden wyze vermakende Personen, fraaij geschilderd",,Painting,"hoog 24, breed 29 1/2 duim",,"Kobell, Jan (II); from catalog: J. Kobell","Sold, 6 fl",Radink; from catalog: Radink,,,,,,,1815 May 24 - 1815 May 26 (This Lot: May 24),,,Luytjes (W.J.),"Amsterdam, Netherlands",8713,,1815,20,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-342,85,"MOLENAER, JAN MIENSE (Dutch)",,,,,Een Wintergezigt ryk gestoffeerd met Beelden en Woningen,,Painting,"hoog 22, breed 35 duim",,"Kobell, Jan (II); from catalog: J. Kobell","Sold, 13 fl","Pakker, Levy; from catalog: Pakker",The artist was prfesumably Klaes Molenaer and not Jan Miense Molenaer.,,,,,,1815 May 24 - 1815 May 26 (This Lot: May 24),,,Luytjes (W.J.),"Amsterdam, Netherlands",8713,,1815,21,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-342,86,"MOLENAER, JAN MIENSE (Dutch)",,,,,Een aangenaam Land en Watergezigt met een Boere-Woning zeer natuurlyk gepenseeld,,Painting,"hoog 10, breed 13 duim",,"Kobell, Jan (II); from catalog: J. Kobell","Sold, 10 fl","Lamberts, Gerrit; from catalog: Lammers",,,,,,,1815 May 24 - 1815 May 26 (This Lot: May 24),,,Luytjes (W.J.),"Amsterdam, Netherlands",8713,,1815,22,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-352,68,"MOLENAER, JAN MIENSE (Dutch)",,,,,Voor een Buitenhuis ziet men eenige vrolijke Boeren,,Painting,"on canvas, hoog 21, breed 18 duim",,"Iperen, Matthias Ignatius van; from catalog: Ypere","Sold or Bought In, 3:5 fl","Iperen, Matthias Ignatius van; from catalog: van Iperen",,,,,,,1815 Oct 16,,,Schley (Philippus),"Amsterdam, Netherlands",8770,,1815,23,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-352,188,"MOLENAER, JAN MIENSE (Dutch)",,,,,Twee vrolijke Boerengezelschappen,,Painting,,,"WE. (Amsterdam, 1815, October 16); from catalog: WE","Sold, 3:10 fl",Stockmann; from catalog: Stockmann,,,,,,,1815 Oct 16,,,Schley (Philippus),"Amsterdam, Netherlands",8770,,1815,24,"52.3745403, 4.89797550561798",,52.3745403, 4.89797550561798
N-350,171,"MOLENAER, JAN MIENSE (Dutch)",,,,,Een musizerend gezelschap in een binnenvertrek. Zeer meesterlijk,,Painting,"on panel, hoog 11, breed 19 duimen",,,Unknown,,,,,,,,1815 Oct 09 and following days (This Lot: Oct  9),,,Huybrechts (P.C.),"Hague, The, Netherlands",8769,,1815,25,"52.0799838, 4.3113461",,52.0799838, 4.3113461
